{902fbfc7-740f-4b03-82fa-396f8b8a1735} bank:/Master
{08329f13-0574-0741-04b3-b3917a7911ad} bank:/Master.strings
{bcc98531-6249-4ec3-ae30-a8c09c6383a7} bus:/
{92864993-612a-4a20-a242-529cf16d4061} bus:/Music
{9729b86f-0f53-496d-b378-7b2e2ad4120e} bus:/Reverb
{948353f5-0aa3-4377-9f6f-b4fccd7f5141} event:/Elevator/FloorDing
{57e10d5a-89b3-4329-8f6c-77935bb3f7cc} event:/Elevator/Open
{8b280190-50b4-4759-b45c-8df1a2623bc9} event:/Elevator/Start
{54d43e1e-da3f-4d77-913f-8c073ab530d4} event:/Elevator/Tick
{f452e470-0f1e-4dcb-b6cb-b21af28fc328} event:/Enemy/die
{55475483-85b5-4dad-a65d-0fa0f6796ab5} event:/Enemy/drone_attack
{49332bbd-52af-4d5a-b699-e0701ebb7447} event:/Enemy/explode_01
{b4e53b08-03fc-4000-a537-eeda1db4dd1a} event:/Enemy/explode_02
{b73df57c-a407-4a73-8053-d7eef36097c6} event:/Enemy/hit_armor_bullet
{a4ef079c-49c5-4da4-9a4f-46f62c1fa7f7} event:/Enemy/hit_metal
{60e880cc-78e0-4433-9db5-a9f4aa57ed57} event:/Enemy/hit_normal
{e7aad2c0-82f1-4827-8dd1-8614534d5c17} event:/Enemy/hit_shield_bullet
{b403e1f7-1784-4343-9fc3-78a62265b23a} event:/Enemy/hit_tank
{d97e9706-dbea-47f1-815a-72c959f2c7a5} event:/Enemy/melee
{c404eb95-2501-4439-b688-720123ab0ba7} event:/Enemy/rocket_launch
{9f030f58-55c6-4e15-b942-1ef2a063d189} event:/Enemy/shoot
{acee70b4-16ad-4aef-a3d6-d52f0415e4fa} event:/Enemy/tank_moving
{54c7770b-4859-415c-be27-5c351b3c4d80} event:/Music/Menu
{c037bc25-8c62-482d-8436-f1a0b7047a10} event:/Music/Stage1
{248f3b8b-91dd-4207-bba3-393297de279f} event:/Music/Stage2
{5f4e8e5c-f84f-4574-bb88-5a0f179523e2} event:/Music/Stage4
{a74efdd9-3655-40e0-bf4d-a7936e06f6c3} event:/Music/Tutorial
{0f4d43f8-47e5-467f-bf9a-13a1ecac5c25} event:/Others/Bossfight
{f3ae73c8-f69c-4299-b23e-bccfcf27fb7c} event:/Others/ammo_get
{70e4183f-c88a-4186-8974-9021d9092d92} event:/Others/health_get
{73463cba-fd11-4cb0-8157-18e80405b6ed} event:/Others/savepoint
{8e74ce85-f438-4ac7-a12b-2d6d6cda4fed} event:/Others/transition
{6c64c64d-5e6c-403e-b1d0-2ed25c8fb45f} event:/Player/Bob/Attack
{077ea35c-e15d-4c73-bf6d-d74383311940} event:/Player/Bob/Die
{98b8ea0b-85d4-4c3c-b8d4-8371d7215d3f} event:/Player/Bob/DoubleJump
{f066358f-b416-4b66-9f08-f3b712ac23e6} event:/Player/Bob/Jump
{2a5f9c9a-af84-4c4e-8c1d-72c620d1424e} event:/Player/Bob/SwitchWeapon
{cf4868eb-5e33-49e9-82ca-bf38ad5f689d} event:/Player/Bob/Ult
{2560e0f4-0859-482e-89a9-863068df65a6} event:/Player/Gunner/Die
{8ec0e6c7-bbaa-4aa1-b8bc-6b886780508a} event:/Player/Gunner/Fire
{5ed4c16b-0ee1-489b-9166-037d96b9621a} event:/Player/Gunner/Grenade
{e30ffe81-905a-43c6-a75d-a2c4e416d6c5} event:/Player/Gunner/Hit
{584e300a-2631-4833-84fb-80da7131ea8f} event:/Player/Gunner/Rocket
{882b07e3-d4c6-4d29-a151-6367e2432791} event:/Player/Machinist/ChargeLoop
{e6e3a9a4-a779-4868-b72a-0f91cb98940a} event:/Player/Machinist/Fire
{4bdd0c96-1c71-42a9-84e2-91af1d6fb4b6} event:/Player/Machinist/Load
{f2052257-bfdc-4216-b1f5-1e60c0b3e64c} event:/Player/Machinist/Melee
{396a0bf4-634c-47a7-8315-c655c20cdf1e} event:/Robot/Attack
{2ee2bf2d-f090-48c3-85bc-75ee61036df7} event:/Robot/CoreClose
{8cf854b1-b004-40b3-8918-d5ae4f95f5c7} event:/Robot/CoreOpen
{860f6152-31c3-4501-bf37-0610b5bac188} event:/Robot/Dash
{1b9efb54-b908-40e1-be1c-d9b8ad4b3b8d} event:/Robot/Laser
{fe9519e3-c32f-4721-8159-93f3dcaf4cff} event:/Robot/MissileExplode
{e4d6774e-5ab8-491d-ba6b-5eeabd982fb2} event:/Robot/MissileLaunch
{d54cf69e-bec2-4758-bd9b-26893e54bc2f} event:/UI/button_press_01
{b6c8e4f2-236d-49ca-8b29-01f92abb4556} event:/UI/button_press_02
{66c0689e-fca0-4b40-843c-255898431b18} parameter:/AttackType
{b3a1fc7c-f149-4f02-b186-019a52f6253a} parameter:/FireType
{083acd86-7c5c-4fdf-be59-a772531ed229} parameter:/Gunner/FireType
{4eb01955-dc40-4459-a7b4-2834f0eb0004} parameter:/MeleeType
{c2a6c03f-ad55-41be-998e-065ff4fe9e32} parameter:/MeleeTypeM
{4a9254c7-167f-4a10-b156-4b2d0ffbdcf7} parameter:/enemy_die
